event-id,visible,timestamp,location-long,location-lat,activity-x,activity-y,activity-z,external-temperature,gps:satellite-count,gps-time-to-fix,ground-speed,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29449189597,TRUE,04:00.0,-90.45075,-1.28845,,,,31.8,6,32,0,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188539,TRUE,04:00.0,-90.45485,-1.29545,,,,27.6,5,10,3.1,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188537,TRUE,05:00.0,-90.455817,-1.296067,,,,30,5,39,1.9,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189590,TRUE,06:00.0,-90.45655,-1.2961,,,,30.1,6,28,0,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187425,TRUE,06:00.0,-90.455633,-1.29645,,,,29.7,4,5,0.3,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188545,TRUE,07:00.0,-90.45395,-1.296617,,,,30.2,5,28,2.7,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187407,TRUE,08:00.0,-90.453933,-1.296617,,,,32.2,4,66,0.3,3840,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187405,TRUE,09:00.0,-90.454067,-1.296567,,,,31.8,4,24,3.7,3840,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188495,TRUE,10:00.0,-90.4538,-1.29665,,,,32.2,5,47,0,3830,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188494,TRUE,10:00.0,-90.45395,-1.296733,,,,30.4,5,18,0.9,3830,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188493,TRUE,11:00.0,-90.45405,-1.2965,,,,30.4,5,26,0.3,3830,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189564,TRUE,12:00.0,-90.455183,-1.296967,,,,29.6,6,25,0,3830,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189550,TRUE,13:00.0,-90.455383,-1.297067,,,,31.8,6,52,0.6,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188473,TRUE,13:00.0,-90.454983,-1.296817,,,,30.9,5,6,0.1,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187372,TRUE,13:00.0,-90.455383,-1.2966,,,,33.4,4,7,0.7,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187369,TRUE,14:00.0,-90.4557,-1.296467,,,,33.4,4,11,0.2,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187375,TRUE,02:00.0,-90.455033,-1.296983,,,,35.4,4,47,0.1,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188470,TRUE,03:00.0,-90.459017,-1.295483,,,,37.2,5,82,2,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188474,TRUE,04:00.0,-90.45485,-1.297033,,,,32.5,5,11,1.2,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187370,TRUE,05:00.0,-90.455483,-1.29545,,,,29.5,4,27,0,3820,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187351,TRUE,06:00.0,-90.457733,-1.2952,,,,31.2,4,66,0.1,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187355,TRUE,06:00.0,-90.4536,-1.296983,,,,29,4,19,0.3,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188455,TRUE,07:00.0,-90.455633,-1.297683,,,,31.6,5,38,0,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187353,TRUE,08:00.0,-90.45605,-1.2923,,,,27,4,5,8.1,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190685,TRUE,09:00.0,-90.4583,-1.294567,,,,28.3,8,21,0,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189534,TRUE,09:00.0,-90.45915,-1.295317,,,,28.3,6,5,0,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189533,TRUE,09:00.0,-90.459767,-1.298083,,,,28.3,6,5,0,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187350,TRUE,10:00.0,-90.460517,-1.296267,,,,28.9,4,5,0,3810,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190669,TRUE,11:00.0,-90.46085,-1.296967,,,,30.2,8,44,0,3800,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189501,TRUE,11:00.0,-90.4665,-1.280533,,,,29.8,6,6,0.1,3800,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187314,TRUE,14:00.0,-90.461117,-1.300583,,,,33,4,58,0.1,3790,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187315,TRUE,15:00.0,-90.460767,-1.3,,,,33.6,4,52,0.3,3790,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188387,TRUE,16:00.0,-90.4615,-1.3009,,,,33.8,5,39,1,3790,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187285,TRUE,04:00.0,-90.460867,-1.300333,,,,34,4,39,1.1,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187286,TRUE,05:00.0,-90.460683,-1.3001,,,,34,4,71,0.2,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187284,TRUE,06:00.0,-90.466683,-1.281,,,,30.5,4,23,2.2,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449191068,TRUE,07:00.0,-90.466633,-1.281033,,,,30.4,10,33,0,3770,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190640,TRUE,07:00.0,-90.465167,-1.279967,,,,29,8,3,0.3,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190169,TRUE,07:00.0,-90.4524,-1.291317,,,,27.5,7,4,0.1,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190642,TRUE,07:00.0,-90.4556,-1.29325,,,,28.2,8,5,11,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
